album_id,album_title,link
1,Sgt. Pepper's Lonely Hearts Club Band,https://www.youtube.com/watch?v=uPTWin_QJCI
313,MTV Unplugged in New York
314,The Miseducation of Lauryn Hill
315,Damn the Torpedoes
316,The Velvet Underground
317,Surfer Rosa
318,Back Stabbers
319,Burnin'
320,Amnesiac
321,Pink Moon
322,Sail Away
323,Ghost in the Machine
324,Station to Station
325,Slowhand
326,Disintegration
327,Exile in Guyville
328,Daydream Nation
329,In the Jungle Groove
330,Tonight's the Night
331,Help!
332,Shoot Out the Lights
333,Wild Gift
334,Squeezing Out Sparks
335,Superunknown
336,In Rainbows
337,Aqualung
338,Cheap Thrills
339,The Heart of Saturday Night
340,Damaged
341,Play
342,Violator
343,Bat Out of Hell
344,Berlin
345,Stop Making Sense
346,3 Feet High and Rising
347,The Piper at the Gates of Dawn
348,Muddy Waters at Newport 1960
349,The Black Album
350,Roger the Engineer
351,Rust Never Sleeps
352,Brothers in Arms
353,My Beautiful Dark Twisted Fantasy
354,52nd Street
355,Having a Rave Up
356,12 Songs
357,Between the Buttons
358,Sketches of Spain
359,Honky Ch�teau
360,Singles Going Steady
361,Stankonia
362,Siamese Dream
363,Substance 1987
364,L.A. Woman
365,Rage Against the Machine
366,American Recordings
367,Ray of Light
368,Eagles
369,Louder Than Bombs
370,Mott
371,"Whatever People Say I Am, That's What I'm Not"
372,Reggatta de Blanc
373,Volunteers
374,Siren
375,Late for the Sky
376,Post
377,The Ultimate Collection: 1948-1990
378,(What's the Story) Morning Glory?
379,CrazySexyCool
380,Funky Kingston
381,The Smile Sessions
382,The Modern Lovers
383,More Songs About Buildings and Food
384,A Quick One
385,"""Love and Theft"""
386,Pretzel Logic
387,Enter the Wu_Tang: 36 Chambers
388,The Indestructible Beat of Soweto
389,The End of the Innocence
390,Elephant
391,The Pretender
392,Let It Be
393,Kala
394,Good Old Boys
395,Sound of Silver
396,For Your Pleasure
397,Blue Lines
398,Eliminator
399,Rain Dogs
400,Anthology: The Best of The Temptations
401,Californication
402,Illmatic
403,(pronounced 'leh-'nerd 'skin-'nerd)
404,Dr. John's Gumbo
405,Radio City
406,Rid of Me
407,Sandinista!
408,I Do Not Want What I Haven't Got
409,Strange Days
410,Time Out of Mind
411,461 Ocean Boulevard
412,Pink Flag
413,Double Nickels on the Dime
414,Beauty and the Beat
415,Van Halen
416,Mule Variations
417,Boy
418,Band on the Run
419,Dummy
420,"The ""Chirping"" Crickets"
421,"The Best of the Girl Groups, Volume 1"
422,Presenting the Fabulous Ronettes Featuring Veronica
423,Anthology
424,The Rising
425,Grievous Angel
426,Cheap Trick at Budokan
427,Sleepless
428,Outlandos d'Amour
429,Another Green World
430,Vampire Weekend
431,"Stories From the City, Stories From the Sea"
432,Here Come the Warm Jets
433,All Things Must Pass
434,#1 Record
435,In Utero
436,Sea Change
437,Tha Carter III
438,Boys Don't Cry
439,"Live at the Harlem Square Club, 1963"
440,Rum Sodomy & the Lash
441,Suicide
442,Q: Are We Not Men? A: We Are Devo!
443,In Color
444,The World Is a Ghetto
445,Fly Like an Eagle
446,Back in the USA
447,Getz / Gilberto
448,Synchronicity
449,Third/Sister Lovers
450,For Everyman
451,Back to Black
452,John Prine
453,Strictly Business
454,Love It to Death
455,How Will the Wolf Survive?
456,"Here, My Dear"
457,Z
458,Tumbleweed Connection
459,The Drifters' Golden Hits
460,Live Through This
461,Metal Box
462,Document
463,Heaven Up Here
464,Hysteria
465,69 Love Songs
466,A Rush of Blood to the Head
467,Tunnel of Love
