album_id,album_title,link
131,Paranoid,https://www.youtube.com/watch?v=fWvKvOViM3g
132,Saturday Night Fever: The Original Movie Sound Track,https://www.youtube.com/watch?v=vNR3tnWmH_0
133,"The Wild, the Innocent & the E Street Shuffle",https://www.youtube.com/watch?v=_lFzQUdkS_Q
134,Ready to Die,https://www.youtube.com/watch?v=ipbcdHWrTpE
135,Slanted and Enchanted,https://www.youtube.com/watch?v=skGqpC0WYSk&list=PLMxy067kbpQhEUHEuGsZNv3zJW0XBpcTM
136,Greatest Hits,https://www.youtube.com/watch?v=UA78e27R_J4&list=PLZQOHzr5NW1OI7yt4SdZMBZ372tC0qvzd
137,Tim,https://www.youtube.com/watch?v=jmJ28Zmdi2k&list=PLDZmtI4GBWqzrzTDwDnqoG7K_3Jv96mIK
138,The Chronic,https://www.youtube.com/watch?v=WFR1iuDr630
139,Rejuvenation,https://www.youtube.com/watch?v=16wjTNDKfbE
140,Parallel Lines,https://www.youtube.com/watch?v=nM7wTS182v0
141,Live at the Regal,https://www.youtube.com/watch?v=xrj09iq-rEQ
142,A Christmas Gift for You From Phil Spector,https://www.youtube.com/watch?v=6pVon5xDARc
143,Gris-Gris,https://www.youtube.com/watch?v=sdB9sZiAfjc
144,Straight Outta Compton,https://www.youtube.com/watch?v=WdfIUL3blX8
145,Aja,https://www.youtube.com/watch?v=tigLvVwKcKc
146,Surrealistic Pillow,https://www.youtube.com/watch?v=xZ9eThiwdSY
147,Deja vu,https://www.youtube.com/watch?v=mup1xIAwyKo
148,Houses of the Holy,https://www.youtube.com/watch?v=eLnD-CVIssY
149,Santana,https://www.youtube.com/watch?v=FUazy5wSpaU
150,Darkness on the Edge of Town,https://www.youtube.com/watch?v=yTp5runGeBM
151,Funeral,https://www.youtube.com/watch?v=4Z9C52dETGk
152,The B 52's / Play Loud,https://www.youtube.com/watch?v=w7hbkALbP8w
153,The Low End Theory,https://www.youtube.com/watch?v=ZWVoht3RZ68
154,Moanin' in the Moonlight,https://www.youtube.com/watch?v=OSN3LiRz-Ik
155,Pretenders,https://www.youtube.com/watch?v=HmwpEmD6-QU
156,Paul's Boutique,https://www.youtube.com/watch?v=iySa7HTWgSI
157,Closer,https://www.youtube.com/watch?v=94eBRzLGYYs
158,Captain Fantastic and the Brown Dirt Cowboy,https://www.youtube.com/watch?v=OAqYeqd4C8o
159,Alive!,https://www.youtube.com/watch?v=_4Ci9ifIBn4
160,Electric Warrior,https://www.youtube.com/watch?v=xhRjj4oIsAY
161,The Dock of the Bay,https://www.youtube.com/watch?v=nvebPaZfN3I&list=PLArpKJA0hY4qGDZ77bIXdnxMmE7nhu4Cm
162,OK Computer,https://www.youtube.com/watch?v=jNY_wLukVW0&list=PLxzSZG7g8c8x6GYz_FcNr-3zPQ7npP6WF
163,1999,https://www.youtube.com/watch?v=4BQx0p1nVzg
164,The Very Best of Linda Ronstadt,https://www.youtube.com/watch?v=bfCx9jBa2d0
165,Let's Get It On,https://www.youtube.com/watch?v=8nvii7LWFtg
166,Imperial Bedroom,https://www.youtube.com/watch?v=FoRm7jNTKsI&list=PLzGotn8LeP0fRH6tSUS6QsDjZ0Y1jM13u
167,Master of Puppets,https://www.youtube.com/watch?v=K6LA7v1PApU
168,My Aim Is True,https://www.youtube.com/watch?v=3-9Jt2J40t4
169,Exodus,https://www.youtube.com/watch?v=UY9IcN19wnQ
170,Live at Leeds,https://www.youtube.com/watch?v=KiWG11Ldk4Q
171,The Notorious Byrd Brothers,https://www.youtube.com/watch?v=udJt2dDIbmw
172,Every Picture Tells a Story,https://www.youtube.com/watch?v=h6Z--12K3hI
173,Something/Anything?,https://www.youtube.com/watch?v=PDpZpj2A3F4&list=PLh0jappMNHsJ_zfhxl3E1Ojdby967nABn
174,Desire,https://www.youtube.com/watch?v=_4rTLPPiqkY&ab_channel=ROCKcity3000
175,Close to You,https://www.youtube.com/watch?v=WAonKc-rGso&ab_channel=DJVinyl
176,Rocks,https://www.youtube.com/watch?v=cw1Tqsm0Wlg&t=1s&ab_channel=IrishO%27African
177,One Nation Under a Groove,https://www.youtube.com/watch?v=GmDNMx9FRgI&ab_channel=MusicSphere
178,The Anthology: 1961-1977,https://www.youtube.com/watch?v=3Wd4tlX5t-Q&list=PLfvdXNY62iK8iSNxq5nBTB4WKNpP6l6wj&ab_channel=TheRunner75
179,The Definitive Collection,https://www.youtube.com/watch?v=HkNyBwr8PJA&ab_channel=MusicPlus
180,"The Rolling Stones, Now!",https://www.youtube.com/watch?v=4QAnz_2FGDA&list=PLXRKTcRs-Xs69GJayI9lLvjYmsLKV5yz9&ab_channel=TheRollingStones-Topic
181,Natty Dread,https://www.youtube.com/watch?v=4n6XdnVkOCc&list=PLVuxmMCjaBtp3ILpYSku7zxwtvNH1Duer&ab_channel=BobMarley-Topic
182,Fleetwood Mac,https://www.youtube.com/watch?v=qs-hn1y7T7c&ab_channel=ASimpleManFrom80s2
183,Red Headed Stranger,https://www.youtube.com/watch?v=Mf1w66uijqU&list=PLj51eDT11UTp3RJwCCC531g6kg0ba0yfm&ab_channel=gringotroller
184,The Immaculate Collection,https://www.youtube.com/watch?v=UstnMc__m54&ab_channel=ASimpleManFrom80s2
185,The Stooges,https://www.youtube.com/watch?v=mmkfdYvXznM&list=PLMxy067kbpQjCZaATEzi6m-WS_PZ4gNOF&ab_channel=TheStooges-Topic
186,Fresh,https://www.youtube.com/watch?v=g6xhSqz_4m8&list=PL1RRNXldMeREyIQk1AIAvBf-Fmjj8GkUb&ab_channel=SlyandtheFamilyStone-Topic
187,So,https://www.youtube.com/watch?v=MeRmMz0_zJc&ab_channel=FullAlbum
188,Buffalo Springfield Again,https://www.youtube.com/watch?v=lXJrepuv-Ec&ab_channel=BanysAttwell
189,Happy Trails,https://www.youtube.com/watch?v=nzjXzBHP0gQ&ab_channel=TheGladiatorOfRock
190,From Elvis in Memphis,https://www.youtube.com/watch?v=EYSeYL7rghI&ab_channel=KENESOLJASMUSIC
